,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
812,Hyundai i10 Magna,PLATINUM,Bangalore,387099,59819,Petrol, 2nd Owner,2015,Hyundai
813,Maruti Suzuki Baleno,PLATINUM,Chennai,650599,19574,Petrol, 2nd Owner,2018,Maruti
814,Tata Hexa -,PLATINUM,Chennai,1705799,46337,Diesel, 2nd Owner,2019,Tata
815,Volkswagen Polo -,PLATINUM,Bangalore,526899,73563,Petrol, 1st Owner,2015,Volkswagen
816,Honda Jazz -,PLATINUM,Chennai,612799,51428,Petrol, 2nd Owner,2016,Honda
817,Maruti Suzuki Alto,PLATINUM,Chennai,269099,95754,Petrol, 2nd Owner,2016,Maruti
818,Tata Hexa -,PLATINUM,Chennai,1952199,34533,Diesel, 2nd Owner,2019,Tata
819,Maruti Suzuki Baleno,PLATINUM,Chennai,646299,50154,Petrol, 2nd Owner,2016,Maruti
820,Maruti Suzuki Celerio,PLATINUM,Bangalore,425899,23492,Petrol, 2nd Owner,2016,Maruti
821,Maruti Suzuki Celerio,PLATINUM,Bangalore,496399,37739,Petrol, 2nd Owner,2017,Maruti
822,Maruti Suzuki Celerio,PLATINUM,Bangalore,393799,46178,Petrol, 3rd Owner,2015,Maruti
823,Maruti Suzuki Baleno,PLATINUM,Chennai,619599,42893,Petrol, 1st Owner,2017,Maruti
824,Maruti Suzuki Alto,PLATINUM,Pune,423599,57875,Petrol+CNG, 2nd Owner,2019,Maruti
825,Hyundai Venue -,PLATINUM,Pune,831999,4832,Petrol, 2nd Owner,2020,Hyundai
826,Renault Triber -,PLATINUM,Chennai,695099,27805,Petrol, 2nd Owner,2019,Renault
827,Hyundai Xcent S,GOLD,Ahmedabad,390000,71000,Diesel, 1st Owner,2014,Hyundai
828,Toyota Fortuner 3.0,GOLD,Chennai,1350000,140000,Diesel,,2013,Toyota
829,Toyota Innova 2.5,GOLD,Chennai,1350000,70000,Diesel,,2014,Toyota
830,Honda City ZX,GOLD,Chennai,250000,75000,Petrol,,2008,Honda
831,Maruti Suzuki Alto,GOLD,Pune,145000,57000,Petrol,,2009,Maruti
832,Maruti Suzuki Vitara,GOLD,Pune,980000,57000,Diesel,,2018,Maruti
833,Hyundai Creta 1.4,GOLD,Pune,980000,91000,Diesel,,2018,Hyundai
834,Hyundai i10 Sportz,GOLD,Nagpur,195000,86000,Petrol,,2009,Hyundai
